industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
9,15.081184240499606,27914064,58033.62062,140,176,83600842.01,13.4
28,11.379876470258836,27914064,58033.62062,140,176,83600842.01,13.4
29,11.306540918731644,27914064,58033.62062,140,176,83600842.01,13.4
46,12.69596065730847,27914064,58033.62062,140,176,83600842.01,13.4
46,9.28974361369648,27914064,58033.62062,140,176,83600842.01,13.4
46,15.149084194824217,27914064,58033.62062,140,176,83600842.01,13.4
29,10.27512503727033,27914064,58033.62062,140,176,83600842.01,13.4
31,12.779322618396161,27914064,58033.62062,140,176,83600842.01,13.4
29,10.454583665171086,27914064,58033.62062,140,176,83600842.01,13.4
9,10.879265318242327,27914064,58033.62062,140,176,83600842.01,13.4
31,14.467323670208222,27914064,58033.62062,140,176,83600842.01,13.4
29,10.97805865389034,27914064,58033.62062,140,176,83600842.01,13.4
9,10.711055054494386,27914064,58033.62062,140,176,83600842.01,13.4
29,11.181175803416263,27914064,58033.62062,140,176,83600842.01,13.4
9,7.55091988473357,27914064,58033.62062,140,176,83600842.01,13.4
29,12.115379667027627,27914064,58033.62062,140,176,83600842.01,13.4
29,11.240806247282116,27914064,58033.62062,140,176,83600842.01,13.4
29,10.706658409300912,27914064,58033.62062,140,176,83600842.01,13.4
29,10.641716505864451,27914064,58033.62062,140,176,83600842.01,13.4
48,10.521952942493877,27914064,58033.62062,140,176,83600842.01,13.4
29,10.239115575766617,27914064,58033.62062,140,176,83600842.01,13.4
9,11.953417942339122,27914064,58033.62062,140,176,83600842.01,13.4
15,10.366607543815537,27914064,58033.62062,140,176,83600842.01,13.4
29,10.894468415647946,27914064,58033.62062,140,176,83600842.01,13.4
29,10.868183803184587,27914064,58033.62062,140,176,83600842.01,13.4
29,10.520147995460254,27914064,58033.62062,140,176,83600842.01,13.4
29,10.583905357272084,27914064,58033.62062,140,176,83600842.01,13.4
29,10.995728453619753,27914064,58033.62062,140,176,83600842.01,13.4
32,11.095332409722662,27914064,58033.62062,140,176,83600842.01,13.4
32,11.893607883431205,27914064,58033.62062,140,176,83600842.01,13.4
32,9.156524741276566,27914064,58033.62062,140,176,83600842.01,13.4
32,11.028052375207341,27914064,58033.62062,140,176,83600842.01,13.4
32,11.26498840410072,27914064,58033.62062,140,176,83600842.01,13.4
32,8.932198513287751,27914064,58033.62062,140,176,83600842.01,13.4
32,11.155509503688807,27914064,58033.62062,140,176,83600842.01,13.4
32,10.57777688635416,27914064,58033.62062,140,176,83600842.01,13.4
9,13.89138679609952,27914064,58033.62062,140,176,83600842.01,13.4
9,10.980473195397265,27914064,58033.62062,140,176,83600842.01,13.4
9,10.426348184190518,27914064,58033.62062,140,176,83600842.01,13.4
9,13.199494359655203,27914064,58033.62062,140,176,83600842.01,13.4
31,16.125327605223,27914064,58033.62062,140,176,83600842.01,13.4
9,10.59405139916047,27914064,58033.62062,140,176,83600842.01,13.4
29,11.64211503802292,27914064,58033.62062,140,176,83600842.01,13.4
29,10.937130934130591,27914064,58033.62062,140,176,83600842.01,13.4
9,14.691881794609813,27914064,58033.62062,140,176,83600842.01,13.4
9,10.50525776805134,27914064,58033.62062,140,176,83600842.01,13.4
48,10.4076736835707,27914064,58033.62062,140,176,83600842.01,13.4
46,11.91744975731667,27914064,58033.62062,140,176,83600842.01,13.4
48,10.817255103865845,27914064,58033.62062,140,176,83600842.01,13.4
46,10.844805670226137,27914064,58033.62062,140,176,83600842.01,13.4
15,9.463388452169362,27914064,58033.62062,140,176,83600842.01,13.4
46,13.154355883745316,27914064,58033.62062,140,176,83600842.01,13.4
29,10.989115778570122,27914064,58033.62062,140,176,83600842.01,13.4
31,15.59737406393455,27914064,58033.62062,140,176,83600842.01,13.4
29,12.08391511319986,27914064,58033.62062,140,176,83600842.01,13.4
31,13.243821968146785,27914064,58033.62062,140,176,83600842.01,13.4
31,14.686543184478792,27914064,58033.62062,140,176,83600842.01,13.4
48,10.401782494204253,27914064,58033.62062,140,176,83600842.01,13.4
9,15.12934349178501,27914064,58033.62062,140,176,83600842.01,13.4
46,15.109626013021252,27914064,58033.62062,140,176,83600842.01,13.4
48,11.80298346267492,27914064,58033.62062,140,176,83600842.01,13.4
27,11.134431844014939,27914064,58033.62062,140,176,83600842.01,13.4
48,8.411443711232629,27914064,58033.62062,140,176,83600842.01,13.4
46,13.031565636815083,27914064,58033.62062,140,176,83600842.01,13.4
29,11.821786100037826,27914064,58033.62062,140,176,83600842.01,13.4
29,9.39905097527627,27914064,58033.62062,140,176,83600842.01,13.4
9,13.416014011502039,27914064,58033.62062,140,176,83600842.01,13.4
8,10.082624376781967,27914064,58033.62062,140,176,83600842.01,13.4
46,14.664546821880664,27914064,58033.62062,140,176,83600842.01,13.4
46,13.82522918672906,27914064,58033.62062,140,176,83600842.01,13.4
28,10.64089541654289,27914064,58033.62062,140,176,83600842.01,13.4
48,10.958378682889226,27914064,58033.62062,140,176,83600842.01,13.4
9,10.183049243755137,27914064,58033.62062,140,176,83600842.01,13.4
28,12.45589017401539,27914064,58033.62062,140,176,83600842.01,13.4
29,10.60800731939104,27914064,58033.62062,140,176,83600842.01,13.4
29,11.758589984756844,27914064,58033.62062,140,176,83600842.01,13.4
45,10.72745306118711,27914064,58033.62062,140,176,83600842.01,13.4
32,11.199751100936712,27914064,58033.62062,140,176,83600842.01,13.4
29,10.011722213877322,27914064,58033.62062,140,176,83600842.01,13.4
29,12.568591497526754,27914064,58033.62062,140,176,83600842.01,13.4
9,12.945776717408732,27914064,58033.62062,140,176,83600842.01,13.4
9,10.695241201439822,27914064,58033.62062,140,176,83600842.01,13.4
