,Facility Id,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
497,1010320,58940.484,73105.388,81742.366,90354.802,88300.652,88037.498,87345.186,96113.466,94661.596,169947.744
499,1009274,114611.946,123684.58,134367.286,132613.682,114773.556,50683.6,32141.17,78899.116,76533.824,28639.106
509,1009353,219358.752,212980.14,204920.724,419791.15,231266.82,168297.59,148978.486,218465.376,272327.254,442537.026
514,1008173,1649011.046,3322123.788,2396637.506,1050886.25,542416.006,991803.75,791293.01,690509.204,649660.344,463635.932
515,1008293,467655.726,433524.99,368258.37,345676.49,324194.222,953669.488,990126.12,722178.932,633921.05,343731.732
517,1008383,90966.43,51024.84,21916.656,34517.06,33590.068,44132.008,47903.352,52551.738,42589.65,43623.544
521,1008588,234169.96,54433.256,77296.088,127474.262,157632.872,185712.876,185771.926,238752.676,248587.82,175303.254
522,1000435,295413.672,338988.102,345928.442,308565.3,184798.28,269289.698,378837.832,343652.016,466126.408,221021.802
525,1008506,46221.576,74756.382,87705.482,171909.412,125150.348,95535.34,108152.78,105459.796,73277.592,51509.354
532,1010318,31360.798,32928.772,31222.598,27933.248,31319.844,34804.902,25059.69,15959.888,68057.81,37505.358
538,1008113,86025.506,149921.476,94740.54,147718.454,120062.22,372322.496,843530.968,1209431.608,565978.948,148757.538
539,1009436,53090.136,62994.364,67248.546,70939.546,75356.526,80888.706,77140.382,82325.062,84557.552,80955.888
543,1009686,51224.338,52442.358,62587.7,64031.08,61399.058,68295.346,85715.58,113629.628,69578.224,64821.432
544,1009582,32216.078,40462.846,33068.224,30912.432,28359.292,29565.692,42146.092,40830.15,44904.228,13596.39
557,1009139,86569.998,104640.962,125397.63,294347.596,88454.1856,68454.18,48828.742,72810.958,85287.648,54113.896
560,1010325,441987.444,1433116.51,1415002.708,1172783.076,674944.048,2507899.49,902953.948,938101.978,265195.788,363582.338
565,1009115,55801.11,31644.33,52322.208,81708.934,56406.274,32586.752,19488.038,20368.932,52381.412,52529.016
566,1009260,322405.972,385985.556,362658.078,570600.41,368170.49,265260.136,92844.52,141168.41,156438.946,187186.388
567,1009261,300182.372,447750.18,503717.824,369893.416,172044.426,330157.23,471339.214,189914.04,11671.006,233438.28
568,1008407,93590.512,89586.566,100429.376,102617.592,78050.202,96272.006,124411.746,106369.132,130448.564,109583.046
569,1008053,49282.284,50339.728,34027.024,35722.9,39576.154,45412.014,51357.518,53349.56,62882.45,71126.176
572,1008141,3221437.482,916258.082,778286.092,578774.504,592293.0,493248.318,275448.874,153123.602,174240.794,87273.734
573,1009286,899370.592,794972.884,720795.856,800600.38,699538.202,566403.83,640366.856,567721.47,498363.988,370755.128
585,1011962,54236.51,88218.99,83951.38,99888.906,94784.388,148455.762,169863.364,138573.844,121587.494,106652.122
588,1008882,40545.55,49403.714,70234.204,30299.268,82990.738,91493.9,201952.088,118632.03,100436.68,111766.948
