,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
4132,1002521,486210,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",297028.95,310206.336,295049.58,308285.612,255832.586,277166.688,82228.528,294589.75,364286.83,317644.898
4133,1001944,211120,Petroleum and Natural Gas Systems,46510.996,46509.59,58477.998,87687.83,78561.794,76530.328,72564.232,71053.174,74523.974,38989.114
4138,1005871,221112,Power Plants,1790910.84,3973772.156,3520941.828,5225182.671,5789282.366,4373034.415,5582620.686,4453771.938,4432050.156,4983292.808
4139,1007209,221112,Power Plants,11945.256,1794.744,9745.312,6677.924,5427.98,848.948,2732.292,4270.336,12079.156,12560.704
4140,1007817,562212,Waste,80494.0,89054.0,88019.75,96064.5,75890.5,87060.75,78495.0,82559.5,101056.23355,114075.0
4141,1001314,221112,Power Plants,1118330.592,1350082.696,1066575.796,966345.7,1040251.084,1118733.252,904746.448,1118152.056,899499.266,820845.808
4145,1000092,221330,Power Plants,70170.084,74670.99,103941.112,74367.458,130886.046,102122.108,102397.412,154901.506,143733.064,162925.932
4147,1003516,562212,Waste,78914.95,78292.45,77046.1,75266.3,73939.65,73102.55,71546.35,70840.7,79632.1,82723.75
4148,1000934,221112,Power Plants,92011.36,77437.664,98356.484,34888.272,95720.996,73021.332,114431.676,157824.064,364027.7,349013.008
4149,1007046,325311,"Chemicals,Suppliers of CO2",945202.092,795918.61,879769.3,894310.904,870357.91,764138.202,887002.846,744302.91,930074.372,671284.9
4154,1004632,331511,"Minerals,Waste",68308.066,76861.984,72512.446,72476.044,71109.294,71500.484,76781.992,73343.58,68978.536,73667.67
4155,1004588,327110,Minerals,15328.692,20284.124,30321.136,33333.224,31944.48,31792.68,28400.944,27247.648,23813.96,25808.652
4157,1001632,325194,Chemicals,15067.844,25637.904,31180.132,30964.184,34135.372,34319.32,33971.772,31348.63,22449.12,26019.852
4158,1000336,325110,Chemicals,50249.242,48915.316,42887.788,35687.716,38197.456,43572.236,40510.248,35195.168,33046.676,36642.812
