,Facility Id,2020 Total reported direct emissions from Local Distribution Companies,2019 Total reported direct emissions from Local Distribution Companies,2018 Total reported direct emissions from Local Distribution Companies,2017 Total reported direct emissions from Local Distribution Companies,2016 Total reported direct emissions from Local Distribution Companies,2015 Total reported direct emissions from Local Distribution Companies,2014 Total reported direct emissions from Local Distribution Companies,2013 Total reported direct emissions from Local Distribution Companies,2012 Total reported direct emissions from Local Distribution Companies,2011 Total reported direct emissions from Local Distribution Companies
101,1002151,20726.65,21551.0,21422.05,21158.9,21093.05,22221.35,21157.0,21258.4,23047.7,22995.85
103,1001123,691.8,691.3,690.05,851.15,651.2,802.15,536.35,438.0,55.85,504.85
104,1002602,257568.71,260838.38,269719.53,282713.38,311846.9,314835.06,314768.25,323653.3,329138.0,345474.0
105,1004107,96672.4,102364.7,109752.85,102216.85,111674.65,120460.0,126372.6,150554.8,130118.1,138438.55
106,1002701,22203.95,22491.85,23449.2,22874.75,28977.9,35621.9,30419.1,30437.1,36229.35,36229.35
108,1005481,21929.42,24602.71,25876.8,28001.03,30861.32,30850.66,31281.1,32038.2,37181.85,38165.25
111,1007319,23930.85,23995.35,24516.05,25806.35,26419.8,28129.25,30528.1,30899.2,38894.25,38212.85
112,1003155,52582.05,61755.9,68237.95,74892.1,81247.8,85968.5,90319.0,183171.0,104838.0,103556.5
113,1006374,7446.25,7517.85,7580.1,7616.2,7688.45,7942.85,8432.4,8545.4,8102.15,7928.25
114,1006375,900.6,902.6,969.95,975.45,985.95,1051.1,1066.2,1122.9,1161.65,1220.5
115,1006376,8122.3,8028.45,7927.0,7891.0,7827.4,7773.15,8361.55,9189.75,10944.45,11546.9
116,1002424,77287.9,77377.25,77233.3,77299.45,77400.4,76470.65,78983.1,80599.4,82750.1,83727.3
117,1004919,16946.0,16771.0,17289.3,67103.0,66853.0,65752.0,99725.0,113186.0,137504.25,31217.25
118,1000388,1497.85,1478.85,1498.95,1569.8,1575.2,1668.4,1760.1,1816.2,1782.5,1896.3
124,1006687,138774.1,141933.4,144852.4,145392.6,147930.35,154658.2,157885.85,155934.65,154906.65,155179.45
125,1007020,1400.2,1363.95,1343.85,1312.1,1271.6,1224.0,1145.4,1090.05,1053.8,1021.2
126,1002603,175758.25,179187.55,186241.3,192586.65,201362.0,203217.55,209814.15,215235.8,221592.75,227200.15
127,1004163,135628.8,140398.6,136048.35,136852.15,147686.8,146378.65,176265.25,182140.2,175794.4,179946.65
128,1006398,115194.522,125239.272,111484.922,109573.122,113901.656,111325.472,115120.756,117401.306,121424.556,131347.506
129,1002199,25209.65,25356.25,24916.5,24825.4,24745.3,24506.25,25083.4,25091.4,24540.4,26022.4
130,1001277,96080.95,99988.9,105294.3,110810.65,116290.046,127304.6,129337.7,126945.248,130314.398,133330.698
