,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
3622,1004530,"MGPI of Indiana, LLC",IN,39.098667,-84.860861,312140,"Other,Suppliers of CO2",74166.6
3623,1005410,MGS Platform A,AK,60.795833,-151.495556,211120,Petroleum and Natural Gas Systems,19867.9
3624,1006029,MGS Platform C,AK,60.763889,-151.502222,211120,Petroleum and Natural Gas Systems,15780.3
3625,1004002,MGT Potomac 2118,IL,40.357581,-87.825839,486210,Petroleum and Natural Gas Systems,10487.6
3626,1005305,MIAMI UNIVERSITY (1409090081),OH,39.51039,-84.73449,611310,Other,20985.1
3627,1004503,MICHELIN NORTH AMERICA ARDMORE PLANT,OK,34.18085,-97.17195,326211,Other,18258.5
3628,1001250,MICHIGAN STATE UNIVERSITY,MI,42.7178,-84.4836,611310,Other,337455.7
3629,1006312,MICHIGAN SUGAR CO - CARO FACTORY,MI,43.4808,-83.39521,311313,Minerals,59930.5
3630,1004477,MICHIGAN SUGAR CO - CROSWELL FACTORY,MI,43.266053,-82.619552,311313,Minerals,70177.8
3631,1005758,MICHIGAN SUGAR COMPANY - Bay City,MI,43.57486,-83.91588,311313,Minerals,159157.9
3632,1006343,MICHIGAN SUGAR COMPANY - SEBEWAING FACTORY,MI,43.741,-83.4483,311313,Minerals,106764.4
3633,1004883,MICROCHIP TECHNOLOGY INC,OR,45.52065,-122.44749,334413,Other,10056.8
3634,1004325,"MICRON TECHNOLOGY, INC.",ID,43.5268,-116.1449,334413,Other,53894.3
3635,1005476,MID AMERICA AGRI PRODUCTS WHEATLAND LLC,NE,40.85401,-101.54,325193,Other,44613.8
3636,1007847,MID-MISSOURI ENERGY LLC,MO,39.197222,-93.386389,325193,"Other,Suppliers of CO2",73205.0
3637,1007635,MIDDLE PENINSULA LANDFILL,VA,37.521681,-76.624614,562212,Waste,70.2
3638,1002650,MIDDLE POINT LANDFILL,TN,35.941993,-86.361929,562212,Waste,335.6
3639,1004834,MIDDLE TENNESSEE STATE UNIVERSITY,TN,35.84342,-86.37075,611310,Other,42886.5
3642,1005446,MIDSTREAM ENERGY PARTNERS NORTH COLES LEVEE GAS PLANT,CA,35.280555,-119.311943,211130,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",26869.1
3643,1005355,MIDWAY-SUNSET COGENERATION CO.,CA,35.22663,-119.62972,221112,Power Plants,385459.8
3644,1002002,MILLERSVILLE LANDFILL,MD,39.085577,-76.676523,562212,Waste,58.0
3645,1004950,MILLIKEN & CO MAGNOLIA PLT,SC,35.120688,-81.555726,313310,Other,110632.5
