Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1003076,TRUNKLINE GAS CO - SHAW,MS,33.631004,-90.690203,486210,Petroleum and Natural Gas Systems,42368.94,42325.1
1006250,TRUNKLINE LNG CO LLC - LAKE CHARLES LNG RECEIVING TERMINAL,LA,30.111944,-93.290833,486210,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",13827.44,13812.0
1001868,TRUSTEES OF PRINCETON UNIVERSITY,NJ,40.354641,-74.646744,611310,Other,77863.9,77781.9
1000446,TS Power Plant,NV,40.7458,-116.5297,221112,Power Plants,1331200.65,1320796.0
1007638,TWIN BRIDGES RDF,IN,39.7507,-86.5006,562212,Waste,132341.36,217.79
1007621,TXI Hunter Cement Plant,TX,29.79992,-98.03647,327310,Minerals,663601.04,662563.4
1007792,TXI OPERATIONS,TX,32.462679,-97.025572,327310,Minerals,1035492.81,1031855.5
1004952,TYSON FARMS INC - TEMPERANCEVILLE,VA,37.885,-75.555278,311615,Other,31607.54,31499.8
1000016,TYSON FARMS INCORPORATED HARMONY,NC,35.95458,-80.72108,311613,Other,57417.55,56960.6
1004809,TYSON FOODS INC PINE BLUFF JEFFERSON PARKWAY PLANT,AR,34.262343,-92.077602,311615,Other,26264.05,26237.2
1000015,TYSON FOODS INCORPORATED,NC,36.143889,-81.163333,311615,Other,23936.26,23911.0
1003444,TYSON FOODS INCORPORATED,AR,36.369722,-93.570833,311615,Other,30747.58,30715.8
1002696,TYSON FOODS-RIVER VALLEY,AR,35.387778,-93.570278,311613,Other,58425.18,58364.9
1000038,TYSON FRESH MEATS,WA,46.131256,-118.910823,311611,Other,22426.12,22403.1
1001680,TYSON FRESH MEATS,TX,35.258611,-101.642222,311611,Other,39053.63,38944.3
1000037,TYSON FRESH MEATS INC,IL,41.554204,-90.22459,311611,Other,26616.62,26550.6
1006783,TYSON FRESH MEATS INC,IN,40.7335,-86.3915,311611,Other,25633.5,25607.2
1001827,TYSON FRESH MEATS INC,KS,38.0,-101.023453,311611,Other,49135.06,49084.1
1001912,"TYSON FRESH MEATS, INC. - WATERLOO",IA,42.509748,-92.26207,311611,Other,35066.67,34977.5
1000045,TYSON POULTRY INC.-SEDALIA,MO,38.75087,-93.326088,311615,Other,46411.88,46364.2
1000149,Taconite Harbor Energy Center,MN,47.5314,-90.9111,221112,Power Plants,1504106.36,1496219.5
1001383,Tait Electric Generating Station,OH,39.7286,-84.2106,221112,Power Plants,44030.48,43985.0
1005807,Talbot Energy Facility,GA,32.5892,-84.6917,221112,Power Plants,189279.9,189078.1
1006084,"Tall Corn Ethanol,LLC d/b/a Poet Biorefining-Coon Rapids",IA,41.85951,-94.63604,325193,Other,68233.99,68163.3
1002377,Tallgrass Powder River Basin Gathering System,CO,39.722098,-105.135202,211112,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",47131.97,47082.9
1009795,Tampa Port Services,LA,30.08367,-90.91325,325312,Chemicals,997252.68,996776.0
1004611,Tanguisson Power Plant,GU,13.541741,144.807727,221112,Power Plants,189613.35,188984.0
1001279,Tanner Street Generation,MA,42.6308,-71.3133,221112,Power Plants,41946.4,41904.2
1001532,Tanners Creek,IN,39.0831,-84.8581,221112,Power Plants,3668484.28,3639724.3
1004620,Targa Downstream LLC - Lake Charles LPG Fractionator,LA,30.158611,-93.347778,211112,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",49260.46,49209.5
1004048,Targa Midstream Services LLC - Barracuda Gas Processing Plant,LA,29.765,-93.637778,211112,Petroleum and Natural Gas Systems,37139.66,37101.3
1003764,Targa Midstream Services LLC - Chico Gas Plant,TX,33.305465,-97.883523,211112,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",102902.56,102796.8
1007441,Targa Midstream Services LLC - Eunice Gas Processing Plant,NM,32.42615,-103.148564,211112,Petroleum and Natural Gas Systems,148442.64,148290.3
1003750,Targa Midstream Services LLC - Gillis Gas Plant,LA,30.273333,-93.156944,211112,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",23723.01,23698.9
1007234,Targa Midstream Services LLC - L&H Compressor Station,TX,31.5107285,-102.6512637,211111,Petroleum and Natural Gas Systems,29299.09,29269.5
1007352,Targa Midstream Services LLC - Lowry Gas Processing Plant,LA,29.75815,-95.36783,211112,Petroleum and Natural Gas Systems,53896.65,53841.3
1003347,Targa Midstream Services LLC - Mertzon Gas Processing Plant,TX,31.25577,-100.89031,211112,Petroleum and Natural Gas Systems,32479.38,32446.5
1004893,Targa Midstream Services LLC - Monument Gas Processing Plant,NM,32.610278,-103.311944,211112,Petroleum and Natural Gas Systems,54023.3,53968.5
1004842,Targa Midstream Services LLC - North Eunice Compressor Station,NM,32.45066552,-103.1920411,211112,Petroleum and Natural Gas Systems,30983.44,30952.2
1003767,Targa Midstream Services LLC - Sandhills Gas Plant,TX,31.501667,-102.640277,211112,"Petroleum and Natural Gas Systems,Suppliers of CO2",94314.3,94217.3
1004843,Targa Midstream Services LLC - Saunders Gas Processing Plant,NM,33.05375,-103.61022,211112,Petroleum and Natural Gas Systems,59107.13,59046.3
1003765,Targa Midstream Services LLC - Sitz Compressor Station,TX,33.30305276,-97.40378839,211112,Petroleum and Natural Gas Systems,27021.05,26993.1
1003346,Targa Midstream Services LLC - Sterling Gas Processing Plant,TX,29.75815,-95.36783,211112,Petroleum and Natural Gas Systems,28029.7,28001.2
1004841,Targa Midstream Services LLC - Stingray Gas Plant,LA,29.761667,-93.609722,211112,Petroleum and Natural Gas Systems,64116.91,64050.6
