Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Ferroalloy Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Zinc Production,Municipal Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004775,110005320955,Gas Transmission Northwest Pipeline Wallula CS#8,WALLULA,WA,99363,638 LAMBDIN RD,WALLA WALLA COUNTY,46.053153,-118.843934,486210,C,Petroleum and Natural Gas Systems,"86,205.32","86,116.00",40.75,48.57,,,,,,,,,,"86,205.32",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003245,110038367193,Gator Gas Processing Plant,GRAND CHENIER,LA,70643,3135 HWY 82,CAMERON,29.765806,-92.958917,211112,C,Petroleum and Natural Gas Systems,"25,477.35","25,450.50",12.25,14.60,,,,,,,,,,"25,477.35",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001194,110043788327,Gen J M Gavin,CHESHIRE,OH,45620,OHIO ROUTE 7,Gallia,38.9347,-82.1158,221112,"C,D",Power Plants,"16,877,218.26","16,744,942.00","48,383.00","83,893.26",,,,,,,,,,"8,035.67","16,869,182.59",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001200,110000310191,General Electric Aviation,LYNN,MA,01910,1000 WESTERN AVE,Essex,42.45,-70.9739,336412,C,Other,"101,134.08","100,993.50",56.25,84.33,,,,,,,,,,"101,134.08",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004317,110042681176,General Motors LLC Wentzville,Wentzville,MO,63385,1500 East Route A,ST. CHARLES COUNTY,38.813792,-90.820376,336111,C,Other,"106,527.58","105,770.10",278.00,479.48,,,,,,,,,,"106,527.58",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006422,110001365086,Geneva Energy LLC,Ford Heights,IL,60411,1705 Cottage Grove,COOK,41.5001,-87.5958,221112,C,Power Plants,"39,420.81","38,677.00",290.25,453.56,,,,,,,,,,"39,420.81",,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005775,110070081924,Genoa,Genoa,WI,54632,S4651 State Road 35,Vernon,43.5592,-91.2333,221112,"C,D",Power Plants,"1,615,079.60","1,606,653.00",432.75,"7,993.85",,,,,,,,,,"2,817.80","1,612,261.80",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001612,110001323318,George Neal North,SERGEANT BLUFF,IA,51054,1151   260th ST,Woodbury,42.3251,-96.3797,221112,"C,D",Power Plants,"6,670,669.53","6,618,668.00","19,024.25","32,977.28",,,,,,,,,,556.55,"6,670,112.98",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001117,110000414114,George Neal South,SALIX,IA,51052,2761 PORT NEAL CIRCLE,Woodbury,42.3022,-96.3622,221112,"C,D",Power Plants,"4,836,802.49","4,798,905.80","13,861.50","24,035.19",,,,,,,,,,380.45,"4,836,422.04",,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003528,110007769316,Georgetown County Landfill,Georgetown,SC,29440,201 Landfill Road,GEORGETOWN,33.45326,-79.31388,562212,HH,Waste,"26,740.25",,"26,740.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,740.25",N,N,N
